clean_description,NAICS Code,label
famsa is a leading retailer that is focused to serve a number of consumption needs and basic financial services of the households towards the deployment of an integral and flexible business platform compromise of 3 business units famsa furniture famsa loans and famsa to famsa strives to fulfill the households needs,443141,592
planned systems international inc psi provides information technology services the company offers health information technology systems integration management improvement services software development independent verification and validation advisory and assistance services,519130,786
vf jeanswear lp manufactures apparels the company offers jeanswear sportswear contemporary and other apparel products vf jeanswear distributes its products throughout the united states,315220,198
meltwater us holdings inc provides advertising and marketing services the company offers media monitoring and database social influence management reports and newsletters meltwater us holdings serves customers worldwide,519110,784
the corr williams company is a full line distributor of tobacco and c store products that was founded in 1904 in jackson mississippi our three distribution centers service southern mississippi southern louisiana and northern alabama,453991,656
designs manufactures and distributes eyewear products the company offers eyeglass frames ski goggles sunglasses and related accessories marcolin serves clients worldwide,446130,621
hansen mueller co operates in the commodity trading business the company trades commodities such as soybeans wheat and oats and also provides feed grain processing and commodity logistics services including grain loading by trucks from farm to ocean vessels,523140,808
trek bicycle corporation is a bicycle and cycling product manufacturer and distributor under brand names trek electra bicycle company bontrager and diamant bikes the company has previously manufactured bikes under the gary fisher lemond racing cycles klein and villiger bikes brand names,451110,640
jack s fruit meat markets formally known as jack s fruit market was established in june of 1973 by jack and marci stehle in essexville michigan the original intent was to provide a place where people could shop for fresh fruits and vegetables all year long,445210,608
texas book company llc tbc is a multimillion dollar supplier of used books in the u s and works with thousands of college bookstores in all 50 states customers rely on tbc to provide industry leading product selection and fast reliable order fulfillment our track record is strong and our clientele diverse,451211,644
about us ozark electronics repair is a recognized leader in the returns management and reverse logistics industry we have over 30 years of experience in returns management and product refurbishmentrefurbishmentrefurbishment is the distribution of products generally electronics that have been previously returned to a manufacturer or vendor for any reason not sold in the market or new launch of a product refurbished products are normally tested for functionality and defects before they are sold to the public wiki refurbishment electronics refurbishment electronics wikipedia,811211,1048
digi star holdings inc is a leading international manufacturer of agriculture scales and weighing equipment,333997,400
republic national industries of texas l p was founded in 2000 the company s line of business includes the manufacturing of wood kitchen cabinets,444190,599
cogema resources inc is one of the world s leading uranium exploration mining and milling companies from its head office in saskatoon it is active in the development of large scale high grade uranium deposits in northern saskatchewan,212291,71
outerstuff llc designs manufactures and markets sports apparel,424330,550
wal mart stores east lp was founded in 2009 the company s line of business includes the retail sale of general lines of apparel such as suits coats dresses and home furnishings,452210,646
vera bradley inc vera bradley designs produces markets and sells accessories for women the company offers women s handbags totes backpacks makeup bags travel and luggage bags,316992,206
sony music group is the umbrella company for sony s recorded music and publishing operations outside of japan as such it houses both sony music entertainment home to columbia epic rca and other labels as well as the world s biggest music publishing company sony atv,334614,427
james avery craftsman inc designs manufactures and sells fine jewelry the company offers bracelets charms earrings engravable jewelry necklaces pendants and pins rings and seasonal jewelry,448310,633
sprint communications company lp provides long distance telecommunication services the company offers bandwidths and data speeds for transmission of voice data and video services sprint communications serves customers throughout the united states,517911,781
at t teleholdings inc provides a variety of communications services that include local and long distance telephone cellular paging internet security monitoring and cable tv,517312,778
mercury marine is a marine engine division of brunswick corporation headquartered in fond du lac wisconsin the main product line is outboard engines it also produces the mercruiser line of sterndrives and inboard engines,811211,1048
pauley construction llc provides regional contracting services throughout the western united states specializing in telecommunications construction services and installation and maintenance of utility infrastructure,811211,1048
csat solutions is an industry leading consumer and commercial electronics repair service provider we offer industry leading methods and processes to help our customers work faster leaner and more efficiently our customers present us with a problem and we help solve it quickly,811212,1049
sam s east inc was founded in 2006 the company s line of business includes the retail sale of a general line of apparel dry goods hardware housewares or home furnishings and groceries,452311,647
ramaco resources inc engages in the operation and development of coal mining properties the firm deals with metallurgical coal in central and southern west virginia southwestern virginia and southwestern pennsylvania its portfolio consists of elk creek berwind ram mine and knox creek,441228,583
buy buy baby inc owns and operates a chain of baby products stores the company offers strollers car seats gear furniture bedding decors toys clothing and accessories gifts and nursing and feeding products in shops and online,448130,628
a proud member of the farm credit system farm credit mid america exists to secure the future of rural communities and agriculture as a leading provider of reliable consistent credit and financial services to the farmers producers agribusinesses and rural residents in arkansas indiana kentucky missouri ohio and,522293,798
zappos com is an american online shoe and clothing retailer based in las vegas nevada united states the company was founded in 1999 by nick swinmurn and launched under the domain name shoesite com in july 2009 amazon acquired zappos in an all stock deal worth around 1 2 billion at the time,448210,632
fairfield textiles general information the company makes a broad array of knit and other jacquard textiles for the sportswear knitwear and designer garment industry and has the ability to meet most government fabric specifications helping customers to get a wide range of fabrics collection,315190,196
vip wireless holdings llc operates as a telecommunication company the company specializes in provides a phone multitude of phone accessories including phone cases stands mounts chargers tempered glass and bluetooth speakers as well as offers software development and marketing services,517312,778
leon s transmissions has over 50 years of automotive transmission services experience the business is family owned and operated all work is guaranteed for both automatic manual transmissions clutch replacement transfer cases 2 4 all wheel drive cars and trucks both foreign and domestic,811113,1039
ihc scott inc is a general contractor that serves the englewood co area and specializes in demolition concrete earthwork,336112,452
les schwab tire centers operates auto parts stores the company offers tires pickup suv alignment shocks brakes brake checks and estimates disc and drum brake repairs les schwab tire centers serves customers in the united states,441320,585
overview rockler companies inc is an american retailer supplier of woodworking tools supplies and hardware the company was founded in 1954 and is headquartered in clearwater minnesota its main activity is the retail sale of woodworking tools supplies and hardware,444130,596
ingrain is a provider of digital rock characterization services for the upstream oil and gas industry help geoscientists and reservoir engineers find and develop their most productive rock,212392,84
ewt holdings iii corp manufactures water purification equipment,333318,375
appliance recycling centers of america inc arca provides appliance recycling services for customers in minnesota ohio and california the company has developed large scale systems for the proper disposal of appliances such as refrigerators freezers room air conditioners dehumidifiers and vending machines,443141,592
officemaxofficemaxofficemax is an american office supplies retailer founded in 1988 as an independent chain it was the third largest office supply retailer in the united states wiki officemaxofficemax wikipedia north america inc offers business to business solutions and retails office products the company provides office supplies and paper in store print document services technology products and solutions and furniture to large medium and small businesses throughout north america,453210,650
3a composites develops manufactures and markets high quality plastic sheets aluminium composite materials paper and foamboards as well as core materials based on balsa wood and pet foam we focus on the following market segments display graphic arts core materials,453910,653
apollo management l p offers investment advisory services the company raises invests and manages private equity credit and real estate funds as well as provides strategic investment accounts,523920,813
about us supplier of lawn garden bagged soils organic soils mulch s bark decorative stone sphagnum peat moss nulife rid moss paver sand paver basepaver basepaver base is a form of aggregate used in the construction of patios and walkways whose topmost layer consists of mortarless or dry laid pavers the first layer in the construction of such a surface is called the subgrade this is the layer of native material underneath the intended surface wiki paver basepaver base wikipedia playsand dolomite lime pellitized gypsum manures and soil conditioner,212399,86
tanner transmissions was founded in utah in 1978 the company started in a small shop located in ogden since then we ve added multiple retail stores and a large manufacturing plant in downtown salt lake city we ve been helping utahns with their transmission problems for over 36 years now,811113,1039
based in boston and new york charlesbank capital partners is a middle market private investment firm with more than 17 billion of capital raised since inception charlesbank focuses on management led buyouts and growth capital financings as well as opportunistic credit and technology investments,523110,805
southern aluminum is the leading producer of forward thinking stylish lightweight furniture solutions since 1978 our talented and highly skilled teams have delivered a unique line of exceptionally crafted linenless furniture to industries ranging from hospitality and education to government healthcare and more,337124,481
with over 30 years as one of the leading lifestyle brands in the golf industry sport haley brings you a modern expression of timeless and traditional looks we focus on fashion along with function offering a stylish sensibility for today s woman,315280,201
whibco is america s oldest producer of industrial sands we are located in southern new jersey and supply industrial and specialty sand and gravel to customers in a myriad of industries around the globe,316992,206
cmh homes inc doing business as clayton home provides mobile homes and mortgage services the company manufactures homes apartments commercial buildings military barracks and college dormitories clayton home serves customers in the united states,453930,655
sportsman s warehouse holdings inc overview it is an outdoor sporting goods retailer which consists product portfolio of backpacks canoes and kayaks camp essentials coolers sleeping bags outdoor cooking equipment tents and tools camouflage jackets outerwear hats sportswear workwear and technical gear,451110,640
overview rental beast is a real estate technology firm with a lead to lease saas platform designed to empower real estate professionals and the nation s most comprehensive database of nearly ten million rental properties,519130,786
ollie s is america s largest retailer of closeout merchandise and excess inventory our 517 semi lovely stores sell merchandise of all descriptions and some beyond description you ll find real brands at real bargain prices in every department from housewares to sporting goods to flooring and to food,452319,648
giraffe holding inc was founded in 2010 the company s line of business includes the retail sale of children s clothing,448130,628
cascade utilities inc is a civil utility contractor specializing in residential and commercial site development if its in the ground chances are we installed it,811213,1050
bond drug company of illinois provides retail drug stores services the company offers the retail sale of prescription drugs proprietary drugs and non prescription medicines,446110,619
perry ellisperry ellisperry edwin ellis march 3 1940 may 30 1986 was an american fashion designer who founded his eponymous sportswear house in the mid 1970s wiki perry ellisperry ellis wikipedia international inc designs and distributes men s and women s apparel accessories and fragrances the company offers dress and casual shirts golf sportswear sweaters dress and casual pants shorts jeans active wear dresses and swimwear perry ellis international serves customers worldwide,315220,198
the associated publishers was a producer of printed materials founded by historian carter g woodson in june 1921 the publishing company was founded to initially help woodson produce his own works and helped many other scholars of black history deliver their works to the public,511140,745
citi trends inc operates as an apparel store the company retails fashion apparels shoes beauty products and accessories for ladies mens and kids as well as provides home decor citi trends serves customers in the united states,448110,626
intimate brands inc is responsible for the operation of numerous retail stores throughout the united states that specialize in lingerie personal care products and women s apparel,448150,630
the federal home loan banks are privately owned wholesale banks that provide low cost overnight and term funding community lending and other housing finance services to more than 8 000 stockholder commercial banks savings institutions credit unions and insurance companies,522298,800
genco distribution system inc provides third party logistics services the company supplies chain management solutions for diverse industries including consumer product goods electronics food beverage and pharmaceutical,335121,429
premiere usa manufacturer of quality dress casual and performance socks we offer an array of styles made from a variety of yarns including many beautiful european yarns fine gauge and organic cotton fancy microfibers and the latest in performance yarns,315110,194
overview this company offers the manufacturing of woven juvenile doll furniture,337125,482
standard chartered international usa llc operates as a bank the bank offers trade finance cash management treasury solutions foreign exchange and interest rate products commodity loan structured import and export finance and other banking services standard chartered international serves customers worldwide,522293,798
vitac is the nation s largest captioning provider in the media and entertainment industry with exclusive contracts covering more than 100 networks our clients include all broadcast networks most cable stations program producers and online video providers,334614,427
wyckoff farms incorporated is headquartered in the united states the company s line of business includes the wholesale distribution of groceries and related products,519120,785
about tennant company tennant company is a recognized leader of the cleaning industry we are passionate about developing innovative and sustainable solutions that help our customers clean more spaces more effectively addressing indoor and outdoor cleaning challenges,333318,375
dish dbs corporation provides cable television services the company offers pay per view dmart home and video on demand services dish network serves customers worldwide,517311,777
westwater resources inc wwr is a mining company wwr carries out the acquisition exploration and development of lithium vanadium and graphite it offers lithium ion batteries lead acid batteries alkaline batteries and lithium primary batteries to the electronic automotive and power industries,212291,71
tucson rolling shutters screens is dedicated to providing a network of dealers immaculate products on time delivery and unmatched customer service it is our mission to work hand in hand with entrepreneurs that want to build up markets to their full potential and beyond,442291,590
kellwood company llc designs manufactures and markets apparel the company offers tops bottoms jackets dresses sportswear casual apparel and sweaters kellwood serves retailers e commerce and online retailers in the united states,424330,550
neustar inc a transunion company is an information services and technology company and a leader in identity resolution providing the data and technology that enables trusted connections between companies and people at the moments that matter most,519190,787
beverages more inc retails alcoholic and non alcoholic beverages the company offers wines spirits beers and other beverages beverages more serves customers in the states of california arizona and washington,445310,617
rns service is proud to have been in business for over four decades and the company continues to provide excellent auto repair services to its customers in may 2021 rustin stoller joined the team as the parts manager and in february 2022 the company repainted its second building,212113,62
cable news network inc provides business technology entertainment sports travel and weather news the company offers services through various technologies and channels such as internet mobile and television,515120,768
agi publishing inc dba valley yellow pagesyellow pagesthe yellow pages are telephone directories of businesses organized by category rather than alphabetically by business name in which advertising is sold the directories were originally printed on yellow paper as opposed to white pages for non commercial listings wiki yellow pagesyellow pages wikipedia is the largest independent yellow pages publisher in central and northern california and the third largest in the nation,511140,745
future foam is a foam producer oem supplier and consumer retail company we take pride in being a team of innovators who manufacture the best in foam materials built to your exact specifications every single time,447110,624
at von hanson s we strive to deliver personalized full service in a friendly old fashioned meat market butcher shop environment promising our customers that we give you the best the differences is in our quality,445210,608
toyota boshoku america inc designs and manufactures automotive interior system the company offers filtration powertrain components seats door trims carpets fabrics straps round recliners oil filters and power train systems,336111,451
youngland kiddie shop inc retail apparels the company offers school uniforms baby furniture accessories boys girls and infants cloths,448130,628
because of raviani s commitment to exceptional work based on the principles of integrity quality and excellent customer service the business saw much success over the last several decades raviani has grown to be a top producer of women s handbags fine accessories and small leather goods,316992,206
brooks brothers group inc operates as an e commerce company the company offers online retail of apparels and accessories such as suits blazers sweaters ties dresses jackets sleepwear shoes bags jewelry fragrance wallets and other related products for men women and kids,448140,629
at extremitycare our focus is on cell and tissue technologies that support the repair reconstruction replacement or supplementation of the patient s own tissue we provide compliant handling of allogeneic and xenograft tissue to and from your clinic with our carelog shipping logistic,451130,642
avail is the leading premium us e liquid and cbd manufacturer retailer and provider of industry scientific services,453991,656
prairieland fs inc is a full service agricultural and energy supplier dedicated to providing high quality products and services for the purpose of improving customer profitability it is our mission to provide excellence for our customers and we envision being the leading supplier of choice,811112,1038
description producer of clay refractories the company specializes in ball clay and mines kaolin in united states,212324,80
the national pipe company is one of the largest and oldest companies producing reinforced concrete pipes precast for sewerage drainage networks and pre stressed concrete pipes with steel cylinder which bear internal pressures for the need for potable water and sewage lines,453998,657
kate spade llc manufactures and sells consumer products the company offers handbags and clothing jewelry fashion accessories fragrance eyewear shoes swimwear home decor desk accessories stationery tabletop and gift products kate spade serves customers in the united states,315240,199
company profile of newscred newscred provides a marketing management platform it provides marketing management software that is designed to maximize campaign visibility increase brand control and accelerate marketing velocity it also provides solutions for workflow management content management content marketing,519110,784
stella jones is a leading north american manufacturer of industrial pressure treated wood products responding to the vital infrastructure needs of our economy we manufacture and distribute railway ties utility poles residential lumber and industrial wood products across the continent,448130,628
citrix systems inc operates as a cloud computing and virtualization technology company the company develops server application and desktop virtualization networking software as a service cloud computing and digital workspace solutions,511210,748
marshall music is dedicated to promoting and enhancing music education we provide clinicians to schools to help with concert and festival preparation host an annual seminar for student teachers who are about to enter the job market and often donate to music programs we service,451140,643
mission comdoc is committed to becoming the premier provider of business technology setting marketplace standards for sales service and operational excellence the company vision is to utilize technology to enhance productivity and the flow of communication within organizations,811212,1049
bluestone coal corporation mines for coal the company operates underground and surface mines and focuses on bituminous coal and lignite surface mining bluestone coal conducts business from west virginia,212112,61
headquartered in kenosha wisconsin snap on is a leading global developer manufacturer and marketer of tool and equipment solutions for professional tool users we have more than 65 000 skus in our product line operate in more than 130 countries and employ approximately 12 600 people worldwide,444130,596
macandrews forbes incorporated operates as a private equity firm the company invests in consumer products banking media e commerce life sciences entertainment cosmetics security and bio technology industries macandrews forbes serves customers in the state of new york,511110,742
liberator medical holdings general information the company specializes in urology ostomy mastectomy and diabetes supplies thereby helping customers get the right products to suit their needs,446199,623
j d steel co inc jd steel provides quality fabrication installation and erection of reinforcing and structural steel as an employee owned company our pledge is to provide safe and professional craftsmanship superior leadership and quality customer service at a fair and competitive price,453910,653
new cingular wireless services inc doing business as at t mobility offers wireless voice and data communications services the company offers post paid prepaid enterprise voice and data as well as local long distance and roaming services,517312,778
atlas industrial mfg co is a reputable provider of high quality heat exchangers offering a wide range of products and services to meet the diverse needs of customers across various industries,447110,624
delta galil ltd manufactures and markets private label apparel for men women and children the company offers a wide range of made to order products from intimates activewear and socks to kidswear and babywear delta galil serves customers worldwide,315240,199
atlantic richfield company produces refines and markets oil and gas the company provides exploration of crude oil natural gas gasoline and natural gas liquids atlantic richfield serves customers worldwide,447190,625
motivepower inc mpi is an american manufacturer of diesel electric locomotives the company is a wholly owned subsidiary of wabtec and traces its history back to the mk rail division of morrison knudsen,321213,212
with our effective lineup of nutrient management nitrogen protection and seed enhancement products kas equips you with the tools to yield optimized results and boost overall performance throughout the entire season fall fertilizerproducts to optimize fall fertilizer applications for maximum crop yield,212393,85
the department of children s services is tennessee s public child welfare agency and establishes statewide standards for performance that reflect best practices for child welfare the department investigates allegations of child abuse and neglect,335110,428
coach corral is a third generation family owned and operated business headquartered in mount vernonmount vernonthe city was named after mount vernon the plantation estate and resting place of george washington the two men laid out the city s first plan while the area was still heavily timbered mount vernon s first industry was logging camps were set up to log the townsite wiki mount vernon washingtonmount vernon washington wikipedia washington we were founded in 1972 by dale padgett from our humble beginnings we have grown to become washington state s largest seller of manufactured homes,453930,655
as the leading hispanic media company in the u s univision communications inc entertains informs and empowers u s hispanics with news sports and entertainment content across broadcast and cable television audio and digital platforms,515120,768
fossil partners lp manufactures and retails men and women clothing and accessories the company offers watches handbags wallets jewelry sunglasses fragrances and other accessories fossil partners serves customers worldwide,424330,550
abc is the most iconic luxury home design destination in new york city enchanting shoppers with its unique unrivaled high end rug offering paired with its expertly curated selection of artisan decor and furniture pieces sourced across the globe,442210,589
deseret management corporation dmc is a global operating company managing for profit entities affiliated with the church of jesus christ of latter day saints all dmc companies operate under a unified mission to be a trusted source of light and truth influencing hundreds of millions of people worldwide,515111,766
stallion s humble beginnings in the oilfield have shaped where we are today founded in 2004 with a handful of workforce housing trailers generators and portable lights in the west texas oil patch stallion oilfield services has evolved significantly as our customers needs grew so did our solutions,315280,201
for over four decades ann sacks has become synonymous with unparalleled craftsmanship and innovation in the world of tile and stone searching the globe for the finest natural materials we have meticulously crafted an extensive portfolio that embodies timeless sophistication redefining the very essence of home,444190,599
newco is an independent wholesale electrical distributor we have three convenient locations in northern colorado and southeast wyoming we service electrical contractors around colorado wyoming kansas and nebraska,335122,430
founded in 1957 auto systems experts ase is one of the oldest midas franchisees in the country the company operates 42 midas shops across 6 states throughout the midwest that offer a full complement of automotive services including comprehensive diagnostics and repair of all major automotive systems,811112,1038
about us eileen fisher creates simple timeless shapes designed to work together effortlessly season after season we make our clothes to last and then take them back to be reworn again or remade into entirely new designs,315240,199
with a diverse holding of companies and subsidiaries in alaska and the lower 48 aleut provides professional services in several key areas including government contracting o m training and education logistics construction it and telecom environmental remediation engineering prototype and manufacturing real,523920,813
kosse partners i l l c doing business as fortress solutions provides telecommunication products refurbishment services the company offers repairing and certification logistics professional and reclamation services,811213,1050
about newegg nasdaq negg founded in 2001 and based in the city of industry calif near los angeles is a leading global online retailer for pc hardware consumer electronics gaming peripherals home appliances automotive and lifestyle technology,443142,593
the mcclatchy company llc operates as a newspaper publisher the company provides information related to business sports entertainment multimedia forums and living,511110,742
p c richard son inc retails home appliances consumer electronics and home office products the company sells appliances vacuum cleaners televisions audio and video equipment cameras and camcorders computers mobile electronics video games and other products,443141,592
bloomberg industry group produces news publications in a broad array of topics the company offers solutions to practitioners in the areas of law tax and accounting government affairs government contracting and environment health and safety,335121,429
anchored by our iconic hudson brand we own and manage over 1 000 duty paid and duty free stores in 89 locations including airports commuter terminals hotels and some of the most visited landmarks and tourist destinations in the world,511130,744
westlock controls is an established global supplier of valve position monitoring and control systems to industries such as oil and gas power water mining chemical and food and beverage,511191,746
welcome to fabric editions we are the industry leader in pre cut fabrics now including an expanded assortment of craft textiles serving the mass independent and international markets browse our website for free creative projects and ideas and find out where you can buy our products let s get creative together,451130,642
founded in 2004 and headquartered in long island city new york healthy brand oil provides multipurpose and specialty edible oil solutions to food service operators and the food manufacturing industry,315110,194
canon virginia inc located in newport news virginia is a manufacturer for canon s office and consumer products our innovative and efficient production methods along with our environmental commitment make us a leading global manufacturer,333316,374
wells fargo securities llc provides investment banking services the company offers merchant banking purchase sale and brokerage of securities and advisory services wells fargo securities serves clients worldwide,523110,805
liberator medical supply provides direct to consumer medical supplies focused on sterile urinary catheters and urological supplies,446199,623
our mission the mission of the arc thrift stores is to enhance the lives of individuals with intellectual and developmental disabilities and their families by providing funding to support the arc acl and advocacy denver chapters in colorado,453310,652
eastbay inc retails athletic products through catalogs the company offers athletic footwear apparel training and fitting equipment and other sports products,212113,62
cgg focuses on critical environmental insight on land ocean or atmosphere through remote sensing machine learning analytics data analysis interpretation and high performance computing hpc,811219,1051
nored provides professional development programs advocates for legislation to enhance the economy and forums to exchange information,453998,657
premier fixtures llc manufactures store fixtures the company offers design and engineering manufacturing and support and logistics services premier fixtures serves customers in the united states,454210,659
nalco water an ecolabecolabit helps organizations both in private as well as public markets treat their water for drinking use and for use in food healthcare hospitality related safety and industry founded as economics laboratory in 1923 by merritt j osborn it was eventually renamed ecolab in 1986 ecolab inc formerly wiki ecolabecolab wikipedia company is an american supplier of water energy and air improvement solutions and services for industrial and institutional markets owned by ecolab,333249,371
about us powertech usa has the market s first end to end hydrogen transportation and fueling solution we have streamlined the movement of hydrogen from production outlet to vehicle inlet by integrating high capacity trailers mobile refuelers and fueling stations,212291,71
vf corporation formerly vanity fair mills until 1969 is an american global apparel and footwear company founded in 1899 by john barbey and headquartered in denver colorado the company s 13 brands are organized into three categories outdoor active and work,315240,199
about us hemispheres was founded in 2014 bringing decades of wine experience to the industry hemispheres serves as an importer wholesaler and producer of premium wine today hemispheres primarily focuses on meeting the needs of direct to consumer wine programs,445310,617
utahamerican energy inc formerly andalex resources is a bituminous coalbituminous coalbituminous coal or black coal is a type of coal containing a tar like substance called bitumen or asphalt its coloration can be black or sometimes dark brown often there are well defined bands of bright and dull material within the seams it is typically hard but friable wiki bituminous coalbituminous coal wikipedia underground coal mine and lignitelignitelignite derived from latin lignum meaning wood often referred to as brown coal is a soft brown combustible sedimentary rock formed from naturally compressed peat it has a carbon content around 25 35 and is considered the lowest rank of coal due to its relatively low heat content wiki lignitelignite wikipedia surface mining company headquartered in sandy utah utahamerican is a subsidiary of cleveland ohio based murray energy corporation,212112,61
ethan allen global inc manufactures and distributes home furnishings the company offers living room products such as sofas and seats sectionals chairs benches tables media cabinets storage and display solutions and dining room furniture including bar and counter stools,442110,588
j p cycles llc retails automobiles the company provides a wide variety of new and used motorcycles and parts j p cycles offers maintenance financing and other customers support services,441228,583
cmp susquehanna llc operates as a radio broadcasting company the company acquires operates and develops commercial radio stations throughout the united states cmp susquehanna markets broadcast time for local regional and national advertising,515111,766
